,SMILES,Experimental value
283,O=C(O)C(=O)COP(=O)(O)O,0
284,O=P(O)(O)OCC1OC(OP(=O)(O)O)(CO)C(O)C1(O),0
285,O=Cc1c(O)c(ncc1COP(=O)(O)O)C,0
286,O=P(O)(O)OCc1cnc(c(O)c1CN)C,0
287,O=P(O)(O)OCc1cnc(c(O)c1CO)C,0
288,O=C(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
289,O=S(O)CCN,0
290,OP(O)(O)=[Se],0
291,O=S(O)O,0
292,O=S(=O)(O)O,0
293,O=P(O)(O)OP(=O)(O)OCCC(=C)C,0
294,O=P(O)(O)OC1OC(CSC)C(O)C1(O),0
295,O=P(O)(O)OC1OC(CO)C(O)C(O)C1(O),0
296,O=C(CCCCCCCCCCCCCCC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
297,O=P(O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
298,O=C(O)C1=CC(O)=NC(=O)N1C2OC(COP(=O)(O)O)C(O)C2(O),0
299,O=C(O)CC(N=C(O)c1ncn(c1(N))C2OC(COP(=O)(O)O)C(O)C2(O))C(=O)O,0
300,O=P(O)(O)OCC2OC(n1cncc1(N))C(O)C2(O),0
301,O=P(O)(OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O))OP(=O)(O)OP(=O)(O)OCC6OC(n5cnc4c(ncnc45)N)C(O)C6(O),0
302,O=C(O)c1ncn(c1(N))C2OC(COP(=O)(O)O)C(O)C2(O),0
303,O=C(N)c1ncn(c1(N=CO))C2OC(COP(=O)(O)O)C(O)C2(O),0
304,O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1(O),0
